Epoch,Num trials,Number correct,Time
0,1077,147,58.80706532788463
1,1077,377,58.2155923768878
2,1077,442,58.55938458791934
3,1077,493,58.38006693404168
4,1077,566,59.015075830044225
5,1077,613,58.366685072891414
6,1077,637,58.44315752806142
7,1077,637,58.36664090096019
8,1077,647,58.50654868595302
9,1077,674,58.4857552270405
10,1077,695,58.37238798616454
11,1077,720,58.25416491506621
12,1077,735,58.428376151947305
13,1077,741,58.85418463614769
14,1077,746,58.190748068038374
15,1077,770,58.22021900606342
16,1077,771,58.38294568983838
17,1077,769,58.601576551096514
18,1077,775,58.35496942815371
19,1077,798,58.51019075186923
20,1077,806,59.66237338189967
21,1077,797,58.434733456000686
22,1077,802,58.434132233960554
23,1077,819,58.59575881110504
24,1077,826,58.32117687398568
25,1077,832,58.307871086057276
26,1077,846,58.210713437059894
27,1077,861,58.33634596806951
28,1077,850,58.10553127108142
29,1077,860,58.269885656191036
30,1077,868,58.27115190401673
31,1077,874,59.27633982314728
32,1077,874,58.671588375931606
33,1077,878,58.50258078216575
34,1077,884,58.37538799108006
35,1077,885,58.406869248021394
36,1077,888,58.34591864794493
37,1077,894,58.315504597034305
38,1077,900,58.18529553897679
39,1077,903,58.24526914698072
40,1077,907,58.2672994020395
41,1077,907,58.45095011894591
42,1077,909,58.663181671872735
43,1077,913,58.563789190026
44,1077,914,58.440895998850465
45,1077,913,58.43110122298822
46,1077,914,58.51113861706108
47,1077,918,58.35813605389558
48,1077,918,58.66125135892071
49,1077,919,58.52846189402044
50,1077,922,58.463973785052076
51,1077,928,58.60507581103593
52,1077,928,58.39335561892949
53,1077,926,58.35252749081701
54,1077,928,58.382102518109605
55,1077,932,58.63563197501935
56,1077,932,58.55786358797923
57,1077,934,58.40377703681588
58,1077,936,58.577378063928336
59,1077,934,58.54809284606017
60,1077,937,58.45609134505503
61,1077,940,58.42226544092409
62,1077,936,58.45372315007262
63,1077,941,58.84343307488598
64,1077,945,58.67803731816821
65,1077,946,58.32640612893738
66,1077,942,58.60693829320371
67,1077,943,58.501123036956415
68,1077,945,58.659707659855485
69,1077,946,58.2237014810089
70,1077,950,58.50313640013337
71,1077,957,58.52892402582802
72,1077,953,58.58616062509827
73,1077,955,58.49669450405054
74,1077,956,58.53571148100309
75,1077,955,58.47031318000518
76,1077,957,58.39240710600279
77,1077,955,58.387253085151315
78,1077,962,58.40229437290691
79,1077,963,58.37295658001676
80,1077,969,58.47814348083921
81,1077,961,58.575659066205844
82,1077,967,58.40940151992254
83,1077,963,58.31486898008734
84,1077,959,58.325101621914655
85,1077,967,58.53592278412543
86,1077,967,58.56235120189376
87,1077,972,58.31483100284822
88,1077,971,58.48519496596418
89,1077,973,58.59409611718729
90,1077,973,58.580676605924964
91,1077,974,58.42272732802667
92,1077,978,58.52440340188332
93,1077,975,58.42934052296914
94,1077,977,58.53697673906572
95,1077,977,58.376589437015355
96,1077,978,59.63184997998178
97,1077,977,58.47972412290983
98,1077,979,58.89846647088416
99,1077,985,58.35741206398234
