Epoch,Num trials,Number correct,Time
0,1077,174,123.73619970097207
1,1077,373,124.74806745699607
2,1077,437,125.0781825480517
3,1077,463,126.33185922005214
4,1077,477,125.2880377669353
5,1077,491,125.33229059702717
6,1077,509,125.33101025200449
7,1077,550,125.34116888116114
8,1077,581,125.34775011381134
9,1077,605,125.37181357294321
10,1077,638,125.35620464291424
11,1077,671,125.3660540850833
12,1077,684,125.3626029221341
13,1077,695,125.38127026287839
14,1077,707,125.36145177390426
15,1077,726,125.43848739704117
16,1077,746,125.38450490310788
17,1077,753,125.40069234301336
18,1077,763,125.44249597308226
19,1077,768,125.37895224289969
20,1077,773,125.36474014702253
21,1077,778,125.39900181698613
22,1077,784,125.44477056898177
23,1077,785,125.444127202034
24,1077,796,125.41024949913844
25,1077,797,125.42663147603162
26,1077,802,125.44803639897145
27,1077,809,125.4040781208314
28,1077,810,125.41444092011079
29,1077,817,125.40861363778822
30,1077,818,125.40425545512699
31,1077,822,125.51239143614657
32,1077,829,125.50624578096904
