Epoch,Num trials,Number correct,Time
0,1077,160,34.36988345393911
1,1077,223,34.30085033783689
2,1077,261,34.42073949309997
3,1077,305,34.46956371702254
4,1077,376,34.4513303830754
5,1077,471,34.47320774407126
6,1077,492,34.473019714001566
7,1077,511,34.45529975090176
8,1077,528,34.44961538002826
9,1077,547,34.457762233912945
10,1077,574,34.48008715896867
11,1077,592,34.44327179691754
12,1077,611,34.53622465906665
13,1077,624,34.537135482998565
14,1077,650,34.55883563379757
15,1077,657,34.48715744004585
16,1077,663,34.4690307690762
17,1077,666,34.50268644397147
18,1077,672,34.46533965691924
19,1077,683,34.48700604401529
20,1077,702,34.466024931985885
21,1077,718,34.491216429974884
22,1077,737,34.49741634191014
23,1077,746,34.51749210385606
24,1077,738,34.536260870983824
25,1077,743,34.50992026808672
26,1077,759,34.52287381282076
27,1077,782,34.50414963415824
28,1077,787,34.53454540204257
29,1077,797,34.51598149584606
30,1077,794,34.53565555089153
31,1077,801,34.51629673410207
32,1077,809,34.50353511213325
33,1077,808,34.48747648508288
34,1077,812,34.54159398982301
35,1077,818,34.53223539306782
36,1077,825,34.52243901696056
37,1077,833,34.50104064401239
38,1077,831,34.48829425312579
39,1077,836,34.494346115970984
40,1077,839,34.51352382800542
41,1077,837,34.54736783588305
42,1077,840,34.553596516139805
43,1077,843,34.516358316875994
44,1077,845,34.5277749360539
45,1077,843,34.57001743488945
46,1077,846,34.53452373621985
47,1077,851,34.578298720065504
48,1077,853,34.58026112103835
49,1077,858,34.59187061805278
50,1077,855,34.59513284591958
51,1077,855,34.562772347126156
52,1077,858,34.52100166492164
53,1077,859,34.59014923800714
54,1077,862,34.59329579304904
55,1077,859,34.592545927967876
56,1077,860,34.592572898836806
57,1077,866,34.56986216478981
58,1077,866,34.57853046199307
59,1077,864,34.57822286197916
60,1077,867,34.546184425009415
61,1077,867,34.57318304292858
62,1077,869,34.615699148969725
63,1077,868,34.60709790396504
64,1077,866,34.5788527301047
65,1077,868,34.58936896407977
66,1077,869,34.6105892281048
67,1077,876,34.591897807084024
68,1077,875,34.59008843195625
69,1077,873,34.57896286598407
70,1077,871,34.59335386380553
71,1077,877,34.56745752179995
72,1077,878,34.61511185998097
73,1077,876,34.640590022085235
74,1077,878,34.62759313895367
75,1077,881,34.61441262089647
76,1077,880,34.6152875861153
77,1077,880,34.59491088008508
78,1077,882,34.59029029891826
79,1077,884,34.621392390923575
80,1077,884,34.61166504188441
81,1077,889,34.66082189511508
82,1077,888,34.60776164988056
83,1077,890,34.64153866702691
84,1077,887,34.62694528582506
85,1077,888,34.618727257009596
86,1077,891,34.643117415951565
87,1077,894,34.614553002174944
88,1077,896,34.61437855497934
89,1077,897,34.6282582229469
90,1077,898,34.638227046933025
91,1077,899,34.577465812908486
92,1077,900,34.56132183899172
93,1077,901,34.54901653411798
94,1077,901,34.5652388590388
95,1077,903,34.642331866081804
96,1077,903,34.61571782594547
97,1077,904,34.61672581802122
98,1077,904,34.61825427901931
99,1077,908,34.667923361994326
