Epoch,Num trials,Number correct,Time
0,1077,162,52.967715268954635
1,1077,297,53.06426177592948
2,1077,403,53.121508731041104
3,1077,421,53.10300289094448
4,1077,427,53.21827164595015
5,1077,446,53.18366939621046
6,1077,482,53.13797832885757
7,1077,524,53.15766003006138
8,1077,570,53.14767253398895
9,1077,612,53.19162791687995
10,1077,648,53.18206454301253
11,1077,671,53.126718126935884
12,1077,685,53.15603712713346
13,1077,695,53.120296503882855
14,1077,705,53.157122146105394
15,1077,724,53.16073919693008
16,1077,739,53.154428913025185
17,1077,762,53.16818907507695
18,1077,766,53.1597313019447
19,1077,768,53.14061305113137
20,1077,766,53.175732866860926
21,1077,767,53.13864429295063
22,1077,773,53.1600317240227
23,1077,791,53.13513522408903
24,1077,801,53.17746576410718
25,1077,801,53.1577995819971
26,1077,805,53.205282979877666
27,1077,811,53.21699625113979
28,1077,818,53.208839246071875
29,1077,826,53.18711641500704
30,1077,827,53.16604363080114
31,1077,827,53.21750537119806
32,1077,832,53.19686630717479
33,1077,829,53.174276903038844
34,1077,834,53.21494811703451
35,1077,835,53.186077466001734
36,1077,836,53.16474483697675
37,1077,836,53.18929951218888
38,1077,843,53.21740252012387
39,1077,845,53.22953066602349
40,1077,848,53.2226335958112
41,1077,849,53.2616631181445
42,1077,854,53.23382310010493
43,1077,855,53.30538858892396
44,1077,859,53.21095018298365
45,1077,864,53.24639290594496
46,1077,870,53.284222539979964
47,1077,874,53.262700444087386
48,1077,873,53.252632226096466
49,1077,875,53.220467863138765
50,1077,880,53.29480829788372
51,1077,882,53.23709278018214
52,1077,891,53.261391575913876
53,1077,890,53.259408440906554
54,1077,897,53.27062421408482
55,1077,902,53.2505357877817
56,1077,902,53.25976291997358
57,1077,903,53.29079789016396
58,1077,903,53.23844679817557
59,1077,905,53.24349320284091
60,1077,906,53.19092544587329
61,1077,907,53.30113116814755
62,1077,909,53.25306755211204
63,1077,912,53.27710096491501
64,1077,915,53.23536742804572
65,1077,917,53.22973189083859
66,1077,915,53.255055580986664
67,1077,917,53.271595407044515
68,1077,920,53.2387557500042
69,1077,926,53.30134283704683
70,1077,931,53.228087502066046
71,1077,930,53.247636016923934
72,1077,929,53.36329625104554
73,1077,935,53.557008472969756
74,1077,937,53.29826575610787
75,1077,945,53.276915109949186
76,1077,945,53.24279305408709
77,1077,946,53.25966233201325
78,1077,944,53.25507582188584
79,1077,944,53.25796686112881
80,1077,947,53.2950449178461
81,1077,948,53.291096456116065
82,1077,951,53.29517508787103
83,1077,953,53.2856507350225
84,1077,955,53.228825303027406
85,1077,955,53.27225142600946
86,1077,954,53.253855333896354
87,1077,955,53.294597109081224
88,1077,958,53.2727726791054
89,1077,964,53.269475935958326
90,1077,963,53.234414831968024
91,1077,961,53.28421041183174
92,1077,966,53.24280532402918
93,1077,967,53.23646820196882
94,1077,968,53.23404838796705
95,1077,966,53.26013851398602
96,1077,969,53.28712107404135
97,1077,969,53.3088155540172
98,1077,972,53.279880177928135
99,1077,972,53.272092405939475
